category,type,actual_2025,budget_2025,variance_2025,variance_pct_2025,actual_2024,budget_2024,variance_2024,variance_pct_2024,actual_2023,budget_2023,variance_2023,variance_pct_2023,yoy_change,yoy_pct,status
Sales Revenue,Revenue,118610,116000,2610,2.25,112295,114940,-2645,-2.3,108570,107000,1570,1.47,6315,5.62,Favourable
Gross Profit,Profit,21764,21400,364,1.7,20280,22960,-2680,-11.67,20628,20000,628,3.14,1484,7.32,Favourable
Operating Expenses,Expense,22954,21500,1454,6.76,22518,20500,2018,9.84,20200,19500,700,3.59,436,1.94,Unfavourable
Finance Costs,Expense,1100,1000,100,10.0,1390,700,690,98.57,700,650,50,7.69,-290,-20.86,Unfavourable
Net Profit / Loss,Profit,-736,900,-1636,-181.78,-3301,2500,-5801,-232.04,1170,1000,170,17.0,2565,77.7,Unfavourable
